k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,77,0.9,7.222718954086304,0.8796812745321284,0.9082939847129773,11,0.025365079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,78,0.9,6.288219213485718,0.8440704133700037,0.8768120766290566,12,0.028936507936507937
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,79,0.9,6.583895444869995,0.8844343073322829,0.915260332497054,11,0.026968253968253968
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,80,0.9,7.792843341827393,0.8791388008482842,0.9087024210866409,11,0.02615873015873016
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,81,0.9,7.013418912887573,0.8764205645760189,0.905753727300457,11,0.02604761904761905
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,82,0.9,6.97899317741394,0.8805719080111015,0.9098875735460915,11,0.02588888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,83,0.9,7.112107753753662,0.8853011753138882,0.9151673160527843,11,0.026174603174603173
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,84,0.9,7.0158302783966064,0.8854204872556974,0.91478021350799,11,0.025793650793650792
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,85,0.9,7.321176767349243,0.8835032777306618,0.9128523192873164,11,0.025857142857142856
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,86,0.9,7.438650846481323,0.8824130731267059,0.9130164311700579,11,0.02688888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,87,0.9,8.009373188018799,0.8745600299488139,0.9047952984736826,11,0.026793650793650793
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,88,0.9,7.417705297470093,0.8841807949345903,0.9144933010224774,11,0.026571428571428572
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,89,0.9,6.6428773403167725,0.8860504387089855,0.9178641296504114,11,0.027698412698412698
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,90,0.9,6.913084030151367,0.8875488770487483,0.9171612535202184,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,91,0.9,7.201081275939941,0.8825313301928752,0.9119179648000552,11,0.02588888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,92,0.9,6.917574405670166,0.8851394308053705,0.9146214567955487,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,93,0.9,7.37667441368103,0.8765139355917299,0.9060868775973422,11,0.02619047619047619
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,94,0.9,6.376211404800415,0.8837923115788112,0.9132345581354008,11,0.025904761904761906
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,95,0.9,6.389820337295532,0.8512004304170615,0.8804547237465752,12,0.025952380952380952
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,96,0.9,6.57358455657959,0.8852232726605477,0.9152608777461341,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,97,0.9,7.569532155990601,0.8864677374958394,0.9171468279296348,11,0.026841269841269843
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,98,0.9,6.923230886459351,0.8864025145244282,0.9149897270731727,11,0.025174603174603176
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,99,0.9,6.778033494949341,0.8916089501684579,0.9217583844962594,11,0.02626984126984127
