k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,69,0.9,11.088086128234863,0.8850022165266644,0.9156570506816444,11,0.026793650793650793
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,70,0.9,9.664895296096802,0.8827803406003046,0.9132887301903875,11,0.02677777777777778
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,71,0.9,9.697342872619629,0.8232856620369212,0.8501649615823349,11,0.02604761904761905
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,72,0.9,10.173821210861206,0.8761618739083926,0.9047756249924582,11,0.025476190476190475
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,73,0.9,10.218735694885254,0.8863518762861571,0.9161392500716757,11,0.026095238095238095
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,74,0.9,10.308127641677856,0.883141896215443,0.9135889993240686,11,0.026698412698412697
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,75,0.9,9.608138084411621,0.8794305811539471,0.908546255773686,11,0.025761904761904764
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,76,0.9,9.915289402008057,0.8817953324130442,0.9110179516680208,11,0.025793650793650792
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,77,0.9,10.079058170318604,0.8800349130137329,0.9093799309774648,11,0.025936507936507938
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,78,0.9,10.295268774032593,0.8792173365373676,0.9088367526115636,11,0.02619047619047619
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,79,0.9,10.580620765686035,0.8793230793579525,0.9085043840893859,11,0.025825396825396824
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,80,0.9,9.838580131530762,0.8838540497728847,0.9142204596032856,11,0.02665079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,81,0.9,9.488389730453491,0.8743140028260372,0.902941760155229,11,0.025523809523809525
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,82,0.9,9.913748264312744,0.8752869507717974,0.9047869165659176,11,0.026174603174603173
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,83,0.9,10.20815134048462,0.8855917223164709,0.9150498910066333,11,0.02588888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,84,0.9,10.949669122695923,0.8589979506168779,0.8909332365744294,12,0.027920634920634922
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,85,0.9,10.28946566581726,0.8871963311709972,0.9174878575650787,11,0.026476190476190476
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,86,0.9,10.283730268478394,0.88239522342461,0.9119895652243846,11,0.026063492063492063
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,87,0.9,9.27565050125122,0.8792397488585257,0.908574289159895,11,0.025952380952380952
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,88,0.9,10.17648434638977,0.884919893302205,0.9149071814507231,11,0.0263015873015873
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,89,0.9,10.779799461364746,0.8506799006750032,0.8845491401029748,12,0.02965079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,90,0.9,10.245394229888916,0.8792703242386105,0.907950287784541,11,0.025444444444444443
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,91,0.9,10.323370218276978,0.8815174162340721,0.9113203642677618,11,0.026285714285714287
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,92,0.9,10.023667812347412,0.8766378407928804,0.9057423039195271,11,0.025841269841269842
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,93,0.9,10.949254512786865,0.8761896014010201,0.9062777644805667,11,0.026634920634920636
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,94,0.9,9.975832462310791,0.8455859129558807,0.8783508143117126,12,0.02895238095238095
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,95,0.9,11.64512586593628,0.8874700480084019,0.9181770786584792,11,0.02677777777777778
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,96,0.9,10.408349514007568,0.8823029621269135,0.9115986220429824,11,0.025841269841269842
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,97,0.9,10.989557981491089,0.8891109120546181,0.9187562536185933,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,98,0.9,9.960856437683105,0.8890298785264689,0.9183331169509664,11,0.02565079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,99,0.9,11.559066772460938,0.885925978685316,0.9164003712374694,11,0.02665079365079365
